lat,lng,name
39.91781429999999,-75.2632235,Sciarrino's Pizza
39.9583179,-75.2082404,Subway
40.0012353,-75.2264677,Pei Wei Asian Diner
40.053029,-75.195697,Tiffin Indian Cuisine Mt Airy
40.05054020000001,-75.0641376,Hibachi Grill and Supreme Buffet
39.95476499999999,-75.1726711,Chima Steakhouse
40.153179,-75.00121949999999,Samarkand Steakhouse
39.8752292,-75.2131426,Fort Mifflin
40.04412779999999,-75.0530124,Four Seasons Diner Restaurant
40.015357,-75.22889599999999,Mama's Pizzeria
39.9923232,-75.0998242,Subway
39.9935894,-75.0957201,Taco Bell
40.02580499999999,-75.22425799999999,Jake's & Cooper's Wine Bar
40.08695499999999,-75.25214199999999,From The Boot
40.052031,-75.127381,Jong Ka Jib
40.04214299999999,-75.128999,Kim's Restaurant
40.0547555,-75.0080408,Cannstatter Volksfest Verein
40.1076113,-75.0273133,Mallu Cafe
40.0956204,-74.9751874,Pat's Pizzeria
39.9289027,-75.16448129999999,Cantina Los Caballitos
39.9492661,-75.15248849999999,Jones
40.0078658,-75.1924226,In Riva
39.9224792,-75.1696932,Subway
39.9993857,-75.2294404,McDonald's
39.9633766,-75.14117569999999,Circles Thai
39.96044699999999,-75.15981,Cafe Lift
39.960758,-75.1698569,Rose Tattoo Cafe
40.032167,-75.21397089999999,Zesto Pizza & Grill
40.06237429999999,-75.0837316,Mr Sushi
39.9483957,-75.21734719999999,Dahlak
39.9671692,-75.17291519999999,Urban Saloon
40.13275760000001,-75.0119661,Domenic's Pizza
39.9772515,-75.1242714,Mugshot Diner
39.9510075,-75.1707493,The Dandelion
40.00750559999999,-75.212249,Chipotle Mexican Grill
39.99508700000001,-75.09556599999999,Little Caesars Pizza
40.0263258,-75.2255354,Lucky's Last Chance
40.040592,-75.22355499999999,Wawa
40.07547599999999,-75.2057698,"Weavers Way Co-op, Chestnut Hill"
39.96119400000001,-75.279145,Painted Tea Cup
39.9998003,-75.2955258,Carlino's Market
40.123678,-74.96203299999999,Sleep Inn & Suites
40.0335107,-75.1758023,Giovanni's Pizzeria
40.03689729999999,-75.0400468,Emma's Cafe and Restaurant
39.93162999999999,-75.1663147,The Victor Café
39.95003699999999,-75.1625129,Time
40.009654,-75.195503,Slices Pizza
39.9016351,-75.1552288,Maglio Sausage Co
39.9052453,-75.27947449999999,Leo's Steak Shop
39.924676,-75.22867529999999,63rd Street Pizza
39.9534403,-75.1883722,Shake Shack
40.0435829,-75.19069669999999,Toto's Pizzeria
40.04423399999999,-75.08719219999999,Domino's Pizza
40.0813889,-75.0897222,Austrian Village Bar & Restaurant
40.08441490000001,-75.0241042,LongHorn Steakhouse
40.1472066,-74.9991976,Saladworks
40.0309657,-75.05482429999999,PrimoHoagies
39.9534817,-75.1926123,New Deck Tavern
39.94182199999999,-75.179493,The Sidecar Bar & Grille
40.028443,-75.05908699999999,Tony's Famous Tomato Pie
40.0872112,-75.2598653,Sorrento's Italian Restaurant
40.10044300000001,-75.153887,Blue Comet Bar & Grill
40.0547772,-75.004334,Wawa
40.0954051,-75.01553489999999,California Tortilla
40.085266,-74.9667043,Grand China Buffet
39.927175,-75.16679599999999,Isabella Pizza
39.9555123,-75.19858,Sitar India
39.97684720000001,-75.1277333,Cedar Point Bar & Kitchen
39.9196222,-75.1713639,L'Angolo Ristorante
39.94981020000001,-75.1475438,The Bourse
40.07261959999999,-75.19493469999999,Philly Platinum Grill
40.081728,-75.038263,Macaroni's
39.939297,-75.26498699999999,Empire Diner
40.0984196,-74.9459363,Indian Hut Bensalem
39.9489949,-75.1663033,Butcher and Singer
39.967158,-75.174916,Zorba's Tavern
39.9467243,-75.1631704,Vetri Cucina
39.9515106,-75.1737407,Tinto
39.9924676,-75.1013555,IHOP
40.08611109999999,-75.2308333,Brunos Restaurant & Catering
40.036931,-74.95352679999999,Angelo's Pizza
39.94048290000001,-75.14963259999999,Famous 4th Street Delicatessen
39.93685599999999,-75.1667638,Boot & Saddle
40.1176579,-74.9604695,Outback Steakhouse
39.9400584,-75.1578321,Ralph's Italian Restaurant
39.9553921,-75.2026195,New Delhi Indian Restaurant
40.0244899,-75.22111579999999,Cactus Cantina
39.9192109,-75.1668619,New Good Flavor
39.87589449999999,-75.243574,Shing Lee Inc
39.9496528,-75.153275,Morimoto
39.9625257,-75.1636833,Dunkin'
39.952484,-75.25749800000001,Wawa
40.10534699999999,-74.93770599999999,Old Friends Pizza
40.13745890000001,-74.9572329,On The Border Mexican Grill & Cantina
39.9707094,-75.1601089,Cameron's Seafood
39.95396799999999,-75.17356099999999,Pagano's Market and Bar
39.9507609,-75.1703976,HipCityVeg
40.06338720000001,-75.23801759999999,Applebee's Grill + Bar
40.05037770000001,-75.00948249999999,McDonald's
40.0809194,-74.9950944,Pizza City
39.9352099,-75.15724800000001,Iztaccihuatl Restaurant
40.0671465,-75.1464731,Bruno's Pizza
39.9511265,-75.1738353,Shake Shack
39.959314,-75.286703,Starbucks
40.1368037,-74.96352739999999,Cracker Barrel Old Country Store
40.0515028,-75.1504003,Crown Fried Chicken
40.1261962,-75.0618298,Lemon Grass Thai
40.0859595,-74.9711521,Joe Santucci's Square Pizza Bar & Grill
39.9279835,-75.1658834,Marra's
40.02735300000001,-75.154005,Vernie's Soul Food Inc
39.9209271,-75.1733058,PrimoHoagies
39.9307946,-75.2276433,McDonald's
40.0540932,-75.0704526,Country Club Diner
39.94051899999999,-75.260727,Pizza Paradise
39.95437099999999,-75.1667271,Tir na nOg Irish Bar & Grill
40.1478306,-75.0027861,Hong Kong King Buffet
39.8758249,-75.2416381,Sky Asian Bistro
40.0768783,-75.2065574,Top of the Hill Cafe
39.94875880000001,-75.1662235,Good Dog Bar
40.0295116,-75.0583838,Montesini Pizza
40.06971799999999,-75.24045,Rita's Italian Ice & Frozen Custard
40.074489,-75.03173300000002,Paddy Whacks Irish Sports Pub - Welsh Road
40.0377,-74.95865599999999,Franco's Taqueria
39.91844649999999,-75.1874603,Chili's Grill & Bar
39.9559266,-75.19059,Landmark Americana University City
40.13325330000001,-75.0098797,Pho Palace
39.9564611,-75.2064694,Kabobeesh
39.951903,-75.170445,The Continental Mid-town
40.01495139999999,-75.10884829999999,Beijing Restaurant
39.922536,-75.169867,Starbucks
39.9181667,-75.2652607,Dunkin'
39.9568556,-75.2104148,"Kaffa Crossing Ethiopian Restaurant, Bar & Cafe"
40.018596,-75.212808,Dawson Street Pub
40.0383245,-75.109107,Wendy's
40.07490310000001,-75.0842699,Wawa
