name,lat,lng,category,mode,dist,time
Park Towne,39.961314,-75.17576600000002,recreation,transit,-1.0,11.0
Columbus Square,39.933155,-75.164775,recreation,transit,-1.0,15.0
Ridgway Park,39.939306,-75.164553,recreation,transit,-1.0,12.0
June 5th Memorial Park ,39.953688,-75.176597,recreation,transit,-1.0,6.0
Marian Anderson Recreation Center,39.941776000000004,-75.17099499999998,recreation,transit,-1.0,7.0
Hawthorne Cultural Center,39.93843,-75.163478,recreation,transit,-1.0,13.0
A Giuseppe DiSilvestro Playground,39.929072,-75.169597,recreation,transit,-1.0,14.0
Louis I Kahn Park,39.945168,-75.160035,recreation,transit,-1.0,10.0
Christ Church Park,39.950874,-75.143074,recreation,transit,-1.0,14.0
ALDI,39.96596789999999,-75.159565,supermarket,transit,-1.0,14.0
Rowhouse Grocery,39.9264115,-75.17470589999998,supermarket,transit,-1.0,13.0
Family Dollar,39.9706831,-75.1601151,supermarket,transit,-1.0,14.0
Point Save Super Market,39.9363079,-75.17757499999998,supermarket,transit,-1.0,12.0
Food & Friends,39.9482565,-75.17419699999998,supermarket,transit,-1.0,6.0
Hung Vuong Supermarket,39.93654730000001,-75.16271970000003,supermarket,transit,-1.0,15.0
Klein's Supermarket,39.96700209999999,-75.17765729999998,supermarket,transit,-1.0,15.0
South Square Market,39.94558299999999,-75.179406,supermarket,transit,-1.0,9.0
Whole Foods Market,39.962951200000006,-75.1742385,supermarket,transit,-1.0,12.0
Trader Joe's,39.9541809,-75.17597020000002,supermarket,transit,-1.0,6.0
ALDI,39.9592785,-75.2130031,supermarket,transit,-1.0,15.0
Rittenhouse Market,39.9478562,-75.1709777,supermarket,transit,-1.0,3.0
Family Dollar,39.93814229999999,-75.17191199999998,supermarket,transit,-1.0,9.0
Grocery,39.9504544,-75.16166120000003,supermarket,transit,-1.0,7.0
Whole Foods Market,39.9428511,-75.1577303,supermarket,transit,-1.0,12.0
Supremo Shop n Bag,39.9551931,-75.2091679,supermarket,transit,-1.0,15.0
Olde City Food Market,39.9497429,-75.1440556,supermarket,transit,-1.0,13.0
Park Town place,39.9607377,-75.1770465,supermarket,transit,-1.0,12.0
Family Dollar,39.9348157,-75.178934,supermarket,transit,-1.0,14.0
Target Grocery,39.951674800000006,-75.17225400000002,supermarket,transit,-1.0,5.0
Spruce Market,39.9474662,-75.16744729999998,supermarket,transit,-1.0,4.0
7-Eleven,39.9547354,-75.168516,supermarket,transit,-1.0,7.0
Heng Fa food market,39.9543959,-75.15620369999998,supermarket,transit,-1.0,13.0
Target Grocery,39.9499352,-75.1599648,supermarket,transit,-1.0,7.0
Trader Joe's,39.9541911,-75.16243349999998,supermarket,transit,-1.0,8.0
Sprouts Farmers Market,39.9391344,-75.16810749999998,supermarket,transit,-1.0,10.0
Trebol Supermarket,39.9620554,-75.15744720000002,supermarket,transit,-1.0,13.0
Lucky Strike Philadelphia,39.9503667,-75.16324200000003,restaurant,transit,-1.0,7.0
New Deck Tavern,39.95348170000001,-75.19261230000002,restaurant,transit,-1.0,11.0
The Sidecar Bar & Grille,39.94182199999999,-75.17949300000002,restaurant,transit,-1.0,12.0
Monk's Cafe,39.947701,-75.16812399999998,restaurant,transit,-1.0,4.0
Fox & Hound,39.94731,-75.16655999999998,restaurant,transit,-1.0,5.0
Davio's Northern Italian Steakhouse,39.951001,-75.16874,restaurant,transit,-1.0,3.0
Landmark Americana University City,39.9559266,-75.19059,restaurant,transit,-1.0,11.0
The Continental Mid-town,39.951903,-75.170445,restaurant,transit,-1.0,4.0
The Capital Grille,39.9507554,-75.1637453,restaurant,transit,-1.0,6.0
Sumo Sushi,39.94518389999999,-75.1628028,restaurant,transit,-1.0,9.0
Helium Comedy Club - Philadelphia,39.9515214,-75.17473199999998,restaurant,transit,-1.0,5.0
The Dandelion,39.9510075,-75.1707493,restaurant,transit,-1.0,5.0
QDOBA Mexican Eats,39.9531869,-75.2029737,restaurant,transit,-1.0,15.0
