,name,lat,lng,category,mode,dist,time
139,Breakfast Boutique,40.0433838,-75.1433673,restaurant,bicycle,0.88,6.63
140,crown fried chicken,40.0611,-75.162093,restaurant,bicycle,0.91,8.22
141,Rita's Italian Ice & Frozen Custard,40.05621399999999,-75.158939,restaurant,bicycle,0.51,4.6
142,David Cohen Ogontz Library,40.0471037,-75.150752,entertainment,pedestrian,0.39,11.25
143,Library,40.047413,-75.152383,entertainment,pedestrian,0.39,11.0
144,Olney Art Exchange,40.042409,-75.126379,entertainment,bicycle,1.88,14.6
145,Imperfect Gallery,40.0348936,-75.1730135,entertainment,bicycle,1.76,14.27
146,Ecuclectic Art,40.0423809,-75.12640959999997,entertainment,bicycle,1.88,14.6
147,WAX PORTRAIT GALLERY,40.041607299999995,-75.17820449999998,entertainment,bicycle,1.85,14.93
148,Korman Library,40.03682120000001,-75.14350619999998,entertainment,bicycle,1.42,11.05
149,Korman Library,40.03682120000001,-75.14350619999998,entertainment,bicycle,1.42,11.05
150,Joseph E. Coleman Northwest Regional Library,40.0340756,-75.1760812,entertainment,bicycle,1.82,14.35
151,Connelly Library,40.0391521,-75.1550567,entertainment,bicycle,0.95,9.05
152,Greater Olney Library,40.0350234,-75.1306781,entertainment,bicycle,2.03,14.92
153,David Cohen Ogontz Library,40.0471037,-75.150752,entertainment,bicycle,0.39,3.73
154,West Oak Lane Library,40.067151,-75.15768469999998,entertainment,bicycle,1.34,10.98
155,Logan Library,40.031756099999996,-75.1453715,entertainment,bicycle,1.66,11.98
156,Free Library of Philadelphia,40.0467849,-75.1404574,entertainment,bicycle,0.87,6.95
157,Oak Lane Library,40.0545894,-75.1378434,entertainment,bicycle,1.21,9.72
158,Library,40.047413,-75.152383,entertainment,bicycle,0.39,3.13
159,La Mott Free Library,40.067465999999996,-75.14171499999998,entertainment,bicycle,1.58,12.42
160,Museum of Nursing History,40.0377071,-75.15332819999998,entertainment,bicycle,1.06,10.78
161,La Salle University Art Museum,40.0377696,-75.1521621,entertainment,bicycle,1.21,11.1
162,Aces Museum,40.036981,-75.17546399999998,entertainment,bicycle,1.66,13.18
163,Black Writers Museum,40.035551,-75.17677599999998,entertainment,bicycle,1.8,14.4
164,Philadelphia insectarium,40.043779,-75.173439,entertainment,bicycle,1.46,12.03
165,Harris Benvenuti Inc,40.04074709999999,-75.177019,entertainment,bicycle,1.82,14.67
166,Mc Carthy Stadium,40.0374141,-75.1541732,entertainment,bicycle,1.01,10.62
167,McCarthy Stadium,40.037187100000004,-75.15410279999998,entertainment,bicycle,1.02,11.02
168,Museum of Nursing History,40.0377071,-75.15332819999998,entertainment,bicycle,1.06,10.78
169,La Salle University Art Museum,40.0377696,-75.1521621,entertainment,bicycle,1.21,11.1
170,Cherashore Playground,40.037135600000006,-75.1357967,entertainment,bicycle,1.65,12.13
171,Awbury Arboretum,40.0505556,-75.1680556,entertainment,bicycle,1.26,10.85
172,Fisher Park,40.04324620000001,-75.13138479999998,entertainment,bicycle,1.61,12.6
173,Awbury Park,40.0523805,-75.16324870000003,entertainment,bicycle,0.67,5.8
174,Kemble Park,40.039978700000006,-75.1497952,entertainment,bicycle,0.99,7.37
176,West Oak Lane,40.064285,-75.153512,farmers_markets,transit,-1.0,10.0
178,68th and Ogontz,40.057709,-75.14886,commercial,transit,-1.0,7.0
179,Ogontoz and Champlost,40.044877,-75.149939,commercial,transit,-1.0,6.0
180,Broad and Stenton/Godfrey,40.047128,-75.14246700000002,commercial,transit,-1.0,11.0
181,Chelten Ave/Ogontz-Wister,40.052073,-75.157097,commercial,transit,-1.0,3.0
182,Old York Road and Oak Lane,40.053901,-75.140866,commercial,transit,-1.0,9.0
183,The Shoppes at LaSalle,40.042488,-75.15906700000002,commercial,transit,-1.0,9.0
187,Stenton and Washington Lane,40.059817,-75.165429,commercial,transit,-1.0,9.0
188,Broad and Olney,40.040376,-75.14376999999998,commercial,transit,-1.0,11.0
189,72nd and Ogontz,40.064092,-75.152578,commercial,transit,-1.0,11.0
191,Chew and Chelten,40.0447,-75.16553499999998,commercial,transit,-1.0,8.0
192,Godfrey and Ogontz,40.047767,-75.150712,commercial,transit,-1.0,5.0
193,PARKWAY NORTHWEST HIGH SCHOOL,40.0564530955096,-75.1651703669058,schools,transit,-1.0,10.0
194,OMBUDSMAN NORTHWEST,40.0559490453277,-75.15647125520358,schools,transit,-1.0,6.0
197,BUILDING 21,40.0536310003,-75.1524810003661,schools,transit,-1.0,5.0
198,ELLWOOD SCHOOL,40.0550249498537,-75.1385380940791,schools,transit,-1.0,11.0
199,MARTIN LUTHER KING HIGH SCHOOL,40.056462024960496,-75.16167785536359,schools,transit,-1.0,7.0
201,MASTERY CHARTER SCHOOL AT PASTORIUS,40.0482079997674,-75.1614239994098,schools,transit,-1.0,5.0
202,GENERAL LOUIS WAGNER SCHOOL,40.0517474803904,-75.1476796206116,schools,transit,-1.0,8.0
204,IMHOTEP INSTITUTE CHARTER HIGH SCHOOL,40.0494270004526,-75.1547169995902,schools,transit,-1.0,6.0
206,JULIA W. HOWE SCHOOL,40.0413185655449,-75.1422093713412,schools,transit,-1.0,10.0
207,JOSEPH PENNELL SCHOOL,40.0433940035014,-75.1507814774704,schools,transit,-1.0,8.0
209,PHILADELPHIA HIGH SCHOOL FOR GIRLS,40.0387049134426,-75.1452251593178,schools,transit,-1.0,11.0
210,WEST OAK LANE CHARTER SCHOOL,40.0595120027579,-75.1634134086327,schools,transit,-1.0,8.0
212,WILLIAM ROWEN SCHOOL,40.058749817373794,-75.1485660747121,schools,transit,-1.0,7.0
213,PRINCE HALL SCHOOL,40.0477074202454,-75.1495605206067,schools,transit,-1.0,5.0
217,Belfield Recreation Center,40.042077,-75.156348,recreation,transit,-1.0,9.0
218,Morris Estate Cultural Center,40.050455,-75.146292,recreation,transit,-1.0,9.0
219,Charles M Finley Playground,40.064661,-75.170728,recreation,transit,-1.0,11.0
220,Fanny Kemble Abolitionist Memorial Park,40.039912,-75.15055,recreation,transit,-1.0,10.0
221,Awbury Park and Recreation Center,40.053652,-75.163177,recreation,transit,-1.0,8.0
222,West Oak Lane Senior Center,40.064351,-75.15426500000002,recreation,transit,-1.0,11.0
223,Lonnie Young Recreation Center of East Germantown,40.050035,-75.159207,recreation,transit,-1.0,5.0
230,Harpers Hollow Park,40.042165,-75.151938,recreation,transit,-1.0,10.0
232,Waterview Recreation Center,40.04515900000001,-75.167753,recreation,transit,-1.0,9.0
233,YMG Stenton Supermarket,40.0604406,-75.1673986,supermarket,transit,-1.0,9.0
234,S & J Food Market,40.053343,-75.15610840000002,supermarket,transit,-1.0,4.0
235,The Fresh Grocer of LaSalle,40.04353010000001,-75.1599335,supermarket,transit,-1.0,9.0
237,ALDI,40.04661,-75.14226790000002,supermarket,transit,-1.0,11.0
245,BP,40.055581,-75.1580079,restaurant,transit,-1.0,6.0
246,Relish,40.0634151,-75.15309690000002,restaurant,transit,-1.0,11.0
248,Checkers,40.0586217,-75.16332059999998,restaurant,transit,-1.0,7.0
249,Papa John's Pizza,40.04492909999999,-75.14390350000002,restaurant,transit,-1.0,8.0
252,KFC,40.04267189999999,-75.14467979999998,restaurant,transit,-1.0,10.0
253,Crown Fried Chicken,40.0515028,-75.1504003,restaurant,transit,-1.0,5.0
254,Little Caesars Pizza,40.062858299999995,-75.15181439999998,restaurant,transit,-1.0,10.0
257,Little Caesars Pizza,40.062862,-75.15187999999998,restaurant,transit,-1.0,10.0
259,Sugafoot Cafe',40.0517414,-75.15649619999998,restaurant,transit,-1.0,3.0
260,Domino's Pizza,40.040638200000004,-75.1438893,restaurant,transit,-1.0,11.0
261,New Ogontz Pizza,40.0446432,-75.1498849,restaurant,transit,-1.0,6.0
262,Happy House,40.044688,-75.1499089,restaurant,transit,-1.0,6.0
263,Chef Donte's Delicious Dishes,40.0461198,-75.1440477,restaurant,transit,-1.0,10.0
264,Family Spot Jamaican Restaurant,40.05595,-75.14137,restaurant,transit,-1.0,11.0
265,Golden China,40.0450515,-75.164513,restaurant,transit,-1.0,8.0
268,Breakfast Boutique,40.0433838,-75.1433673,restaurant,transit,-1.0,9.0
271,Taco Bell,40.0426126,-75.14462490000003,restaurant,transit,-1.0,10.0
273,crown fried chicken,40.0611,-75.162093,restaurant,transit,-1.0,10.0
274,Rita's Italian Ice & Frozen Custard,40.05621399999999,-75.158939,restaurant,transit,-1.0,6.0
278,X Mark's the Spot Bar and Grille,40.06010260000001,-75.16680459999998,restaurant,transit,-1.0,9.0
279,Holiday Pizza,40.064157,-75.153924,restaurant,transit,-1.0,10.0
280,St Vincents,40.04158230000001,-75.16780390000002,restaurant,transit,-1.0,9.0
283,Oak Lane Library,40.0545894,-75.1378434,entertainment,transit,-1.0,11.0
288,David Cohen Ogontz Library,40.0471037,-75.150752,entertainment,transit,-1.0,5.0
292,Library,40.047413,-75.152383,entertainment,transit,-1.0,6.0
301,Kemble Park,40.039978700000006,-75.1497952,entertainment,transit,-1.0,10.0
303,Awbury Park,40.0523805,-75.16324870000003,entertainment,transit,-1.0,8.0
311,Awbury Arboretum,40.0505556,-75.1680556,entertainment,transit,-1.0,11.0
