,name,lat,lng,category,mode,dist,time
74,Tiffin Indian Cuisine Mt Airy,40.053028999999995,-75.195697,restaurant,bicycle,0.37,3.37
75,Giovanni's Pizzeria,40.0335107,-75.17580229999999,restaurant,bicycle,1.93,14.8
76,Toto's Pizzeria,40.0435829,-75.19069669999998,restaurant,bicycle,0.95,6.73
77,Philly Platinum Grill,40.07261959999999,-75.19493469999998,restaurant,bicycle,1.6,13.7
78,New China Court,40.07315510000001,-75.19467159999998,restaurant,bicycle,1.64,14.1
79,Mermaid Inn,40.0679852,-75.19678499999998,restaurant,bicycle,1.19,9.55
80,High Point Cafe,40.057516899999996,-75.19462370000002,restaurant,bicycle,0.33,3.1
81,Mi Puebla Restaurant & Bakery,40.05994739999999,-75.190747,restaurant,bicycle,0.52,4.73
82,Quality Donuts,40.03414029999999,-75.1767809,restaurant,bicycle,1.88,14.35
83,Popeyes Louisiana Kitchen,40.0334182,-75.176998,restaurant,bicycle,1.92,14.6
84,Herb Scott's Catering,40.0493015,-75.18382679999998,restaurant,bicycle,0.66,5.67
85,Paris Bistro & Jazz Cafe,40.0742043,-75.20320319999998,restaurant,bicycle,1.74,14.78
86,El Poquito,40.07361160000001,-75.202635,restaurant,bicycle,1.71,14.52
87,China Garden Restaurant,40.06701339999999,-75.1780335,restaurant,bicycle,1.21,10.82
88,Biryani Bowl Indian Cuisine,40.0734891,-75.19833129999998,restaurant,bicycle,1.64,14.22
89,Mario's Pizza,40.07261079999999,-75.19434079999998,restaurant,bicycle,1.59,13.63
90,Golden China,40.0450515,-75.164513,restaurant,bicycle,1.92,14.4
91,Blunile Chefs Servsafe Training,40.046994299999994,-75.1949396,restaurant,bicycle,0.73,5.68
92,La Rose Jazz Club,40.0346552,-75.17300300000002,restaurant,bicycle,1.84,13.93
93,Jansen,40.062681,-75.19319499999997,restaurant,bicycle,0.75,6.42
94,Tyemeka's Soul Food Restaurant,40.0381549,-75.1769466,restaurant,bicycle,1.52,11.57
95,Wawa,40.060808,-75.19194999999998,restaurant,bicycle,0.62,5.73
96,Newman's Grill,40.03887260000001,-75.17760369999998,restaurant,bicycle,1.46,11.18
97,X Mark's the Spot Bar and Grille,40.06010260000001,-75.16680459999998,restaurant,bicycle,1.88,14.87
98,Trattoria Moma,40.0593149,-75.19004709999999,restaurant,bicycle,0.49,5.02
99,Jyoti Indian Bistro,40.06044970000001,-75.1915257,restaurant,bicycle,0.6,5.57
100,Rita's Italian Ice & Frozen Custard,40.067809999999994,-75.179316,restaurant,bicycle,1.27,11.13
101,Cresheim Valley Grain Exchange,40.0596009,-75.1907583,restaurant,bicycle,0.55,4.97
102,Macaroni's Outdoor Cafe,40.052077600000004,-75.18391249999998,restaurant,bicycle,0.6,5.17
